what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1348964963329
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1348964963330
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1348964963331
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1348964963331
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1348964963332
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1348964963332
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1348964963333
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1348964963334
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1348964963334
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1348964963335
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1348964963335
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1348964963336
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1348964963337
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348964963337
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1348964963338
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348964963338
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1348964963338
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1348964963339
started,bundle,com.liferay.ide.eclipse.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.core",1348964963339
started,bundle,com.liferay.ide.eclipse.server.tomcat.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.server.tomcat.core",1348964963339
started,bundle,com.liferay.ide.eclipse.ui,1.1.0.v201009141126,"com.liferay.ide.eclipse.ui",1348964963340
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1348964963340
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1348964963341
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1348964963343
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1348964963345
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1348964963346
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1348964963347
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1348964963347
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1348964963348
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1348964963349
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1348964963351
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1348964963356
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1348964963357
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1348964963359
started,bundle,org.springframework.ide.eclipse.aop.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.core",1348964963359
started,bundle,org.springframework.ide.eclipse.aop.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.ui",1348964963360
started,bundle,org.springframework.ide.eclipse.beans.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.core",1348964963361
started,bundle,org.springframework.ide.eclipse.beans.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1348964963362
started,bundle,org.springframework.ide.eclipse.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.core",1348964963363
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1348964963363
started,bundle,org.springframework.ide.eclipse.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.ui",1348964963364
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1348964963364
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1348964963365
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1348964963365
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1348964963365
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1348964963366
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1348964963366
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1348964963367
started,bundle,com.collabnet.subversion.merge,2.2.1,"com.collabnet.subversion.merge",1348964963367
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1348964963368
started,bundle,org.tigris.subversion.subclipse.core,1.6.15,"org.tigris.subversion.subclipse.core",1348964963368
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1348964963368
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1348964963368
started,bundle,org.tigris.subversion.subclipse.ui,1.6.15,"org.tigris.subversion.subclipse.ui",1348964963369
started,bundle,org.eclipse.egit.core,2.1.0.201209190230-r,"org.eclipse.egit.core",1348964963370
started,bundle,org.eclipse.egit.ui,2.1.0.201209190230-r,"org.eclipse.egit.ui",1348964963371
started,bundle,org.eclipse.jgit,2.1.0.201209190230-r,"org.eclipse.jgit",1348964963372
os,sysinfo,,,"win32",1348964963377
arch,sysinfo,,,"x86",1348964963377
ws,sysinfo,,,"win32",1348964963377
locale,sysinfo,,,"es_ES",1348964963377
processors,sysinfo,,,"4",1348964963377
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348964963377
java.runtime.version,sysinfo,,,"1.6.0_23-ea-b01",1348964963377
java.specification.name,sysinfo,,,"Java Platform API Specification",1348964963377
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348964963377
java.specification.version,sysinfo,,,"1.6",1348964963377
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1348964963377
java.version,sysinfo,,,"1.6.0_23-ea",1348964963377
java.vm.info,sysinfo,,,"mixed mode, sharing",1348964963377
java.vm.name,sysinfo,,,"OpenJDK Client VM",1348964963377
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348964963377
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348964963377
java.vm.specification.version,sysinfo,,,"1.0",1348964963377
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1348964963377
java.vm.version,sysinfo,,,"19.0-b06",1348964963377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964966045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964966686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964966807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964966826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964968003
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1348964975595
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1348964975876
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1348964975879
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1348964975880
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1348964975880
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1348964975919
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1348964975921
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1348964975954
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1348964975982
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1348964976004
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1348964976024
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1348964976457
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1348964976467
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1348964976483
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1348964976492
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1348964976510
started,bundle,org.eclipse.jst.j2ee.web,1.1.402.v201008242000,"org.eclipse.jst.j2ee.web",1348964976512
started,bundle,org.eclipse.jst.common.frameworks,1.1.402.v201009081300,"org.eclipse.jst.common.frameworks",1348964976522
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1348964976566
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1348964976642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964976709
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1348964997518
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1348964997979
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1348964997990
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1348964997995
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1348964997997
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1348964997999
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1348964998072
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1348964998831
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1348964998842
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.402.v201009081300,"org.eclipse.jst.j2ee.navigator.ui",1348964998847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348964998948
started,bundle,com.liferay.ide.eclipse.project.ui,1.1.0.v201009141126,"com.liferay.ide.eclipse.project.ui",1348964999251
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1348964999286
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1348964999307
started,bundle,org.springframework.ide.eclipse.webflow.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.core",1348964999348
started,bundle,com.liferay.ide.eclipse.layouttpl.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.layouttpl.core",1348964999378
started,bundle,com.liferay.ide.eclipse.portlet.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.portlet.core",1348964999387
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1348965000873
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1348965000874
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.2.20100623-1649,"org.maven.ide.eclipse.maven_model_edit",1348965000875
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1348965000886
started,bundle,org.maven.ide.eclipse,0.10.2.20100623-1649,"org.maven.ide.eclipse",1348965001118
started,bundle,org.maven.ide.eclipse.jdt,0.10.2.20100623-1649,"org.maven.ide.eclipse.jdt",1348965001135
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1348965001224
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1348965001413
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1348965001660
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1348965002172
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1348965002173
started,bundle,org.eclipse.jst.jsf.common,1.2.1.v20100827,"org.eclipse.jst.jsf.common",1348965002174
started,bundle,org.eclipse.jst.jsf.core,1.3.2.v20100906,"org.eclipse.jst.jsf.core",1348965002178
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1348965002264
started,bundle,com.liferay.ide.eclipse.project.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.project.core",1348965002266
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1348965002311
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1348965002317
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1348965002345
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348965002390
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1348965002406
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1348965002432
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1348965004679
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1348965004813
started,bundle,com.liferay.ide.eclipse.theme.core,1.1.0.v201009141126,"com.liferay.ide.eclipse.theme.core",1348965005125
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1348965005163
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1348965005165
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1348965005175
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1348965005176
started,bundle,org.maven.ide.eclipse.editor,0.10.2.20100623-1649,"org.maven.ide.eclipse.editor",1348965005266
started,bundle,org.maven.ide.eclipse.refactoring,0.10.2.20100623-1649,"org.maven.ide.eclipse.refactoring",1348965005628
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1348965005642
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1348965005644
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1348965008485
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348965010488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348965020860
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1348965037524
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1348965038036
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1348965038076
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1348965038178
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1348965038264
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1348965038266
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1348965038269
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1348965038314
